time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2022-05-03T00:00:00Z,1.1,0.7,1.4,1.41,0.589,2.231,1.494,0.59,2.398,2.0295,0.981,3.078,2.0865,0.981,3.192
2022-05-04T00:00:00Z,2.6,2.2,3.1,4.327,3.264,5.39,4.4045,3.264,5.545,4.699,3.497,5.901,4.758,3.538,5.978
2022-05-05T00:00:00Z,4.5,4.1,4.9,7.657,6.606,8.708,7.775499999999999,6.636,8.915,8.6365,7.246,10.027,8.6915,7.265,10.118
2022-05-06T00:00:00Z,1.5,1.2,1.8,1.74,1.206,2.274,1.8145,1.206,2.423,2.8855,2.009,3.762,2.9185,2.009,3.828
2022-05-07T00:00:00Z,2.4,2.4,2.5,3.5985,3.368,3.829,3.6014999999999997,3.368,3.835,6.9765,6.029,7.924,6.978,6.03,7.926
2022-05-08T00:00:00Z,1.8,1.4,2.1,2.427,1.623,3.231,2.4735,1.623,3.324,3.3305,2.262,4.399,3.3505000000000003,2.262,4.439
2022-05-09T00:00:00Z,0.9,0.7,1.1,0.954,0.571,1.337,0.9635,0.571,1.356,1.638,1.015,2.261,1.6385,1.015,2.262
2022-05-10T00:00:00Z,1.5,1,2,2.117,1.048,3.186,2.2875,1.048,3.527,2.7379999999999995,1.4,4.076,2.817,1.4,4.234
2022-05-11T00:00:00Z,1.6,1.4,1.9,2.2605,1.623,2.898,2.272,1.623,2.921,2.9684999999999997,2.141,3.796,2.9735,2.141,3.806
2022-05-12T00:00:00Z,1.4,1.3,1.6,1.777,1.44,2.114,1.79,1.44,2.14,2.4635,1.928,2.999,2.4699999999999998,1.928,3.012
2022-05-13T00:00:00Z,1.3,1,1.5,1.5625,0.945,2.18,1.585,0.945,2.225,1.9735,1.217,2.73,1.981,1.217,2.745
2022-05-14T00:00:00Z,2.1,1.8,2.4,2.992,2.298,3.686,3.051,2.298,3.804,3.6425,2.728,4.557,3.665,2.728,4.602
2022-05-15T00:00:00Z,2,1.7,2.3,2.5700000000000003,2.067,3.073,2.595,2.067,3.123,3.142,2.465,3.819,3.152,2.465,3.839
2022-05-16T00:00:00Z,2.1,1.7,2.4,2.6875,2.154,3.221,2.7525,2.154,3.351,3.3099999999999996,2.584,4.036,3.3564999999999996,2.584,4.129
2022-05-17T00:00:00Z,1.1,0.8,1.3,0.9315,0.535,1.328,0.946,0.535,1.357,1.3285,0.805,1.852,1.3325,0.805,1.86
2022-05-18T00:00:00Z,1.9,1.6,2.2,2.4625,1.973,2.952,2.488,1.973,3.003,3.1094999999999997,2.416,3.803,3.1174999999999997,2.416,3.819
2022-05-19T00:00:00Z,2.5,2,3.1,3.4819999999999998,2.55,4.414,3.5925,2.55,4.635,4.409,3.167,5.651,4.458,3.167,5.749
2022-05-20T00:00:00Z,1.1,0.8,1.3,1.1505,0.706,1.595,1.1625,0.706,1.619,1.6585,1.059,2.258,1.6629999999999998,1.059,2.267
