time_stamp,pm2.5_atm,pm10.0_atm
2020-08-10T00:00:00Z,5.9815,6.999
2020-08-11T00:00:00Z,4.316,5.192
2020-08-12T00:00:00Z,4.0925,5.328
2020-08-13T00:00:00Z,4.6435,6.1255
2020-08-14T00:00:00Z,5.0515,6.473
2020-08-15T00:00:00Z,7.212,8.1885
2020-08-16T00:00:00Z,5.8515,6.589
2020-08-17T00:00:00Z,7.688,8.7645
2020-08-18T00:00:00Z,8.668,9.934
2020-08-19T00:00:00Z,12.466,13.858
2020-08-20T00:00:00Z,12.6605,14.0515
2020-08-21T00:00:00Z,43.3725,52.106
2020-08-22T00:00:00Z,56.187,66.5765
2020-08-23T00:00:00Z,34.21,41.571
2020-08-24T00:00:00Z,18.2925,19.855
2020-08-25T00:00:00Z,16.295,19.427
2020-08-26T00:00:00Z,13.369,15.293
2020-08-27T00:00:00Z,15.1305,16.889
2020-08-28T00:00:00Z,14.6135,16.422
2020-08-29T00:00:00Z,14.3265,15.947
2020-08-30T00:00:00Z,18.937,21.3295
2020-08-31T00:00:00Z,10.4015,11.833
2020-09-01T00:00:00Z,4.782,6.021
2020-09-02T00:00:00Z,3.286,3.855
2020-09-03T00:00:00Z,2.925,3.5875
2020-09-04T00:00:00Z,5.2945,6.007
2020-09-05T00:00:00Z,7.67,8.4115
2020-09-06T00:00:00Z,15.501,18.293
2020-09-07T00:00:00Z,61.8125,72.468
2020-09-08T00:00:00Z,9.015,13.0285
2020-09-09T00:00:00Z,1.5745,1.972
2020-09-10T00:00:00Z,5.227,6.799
2020-09-11T00:00:00Z,10.9825,13.0535
2020-09-12T00:00:00Z,14.306,16.385
2020-09-13T00:00:00Z,27.2255,33.352
2020-09-14T00:00:00Z,11.7905,13.5015
2020-09-15T00:00:00Z,7.338,8.554
2020-09-16T00:00:00Z,9.0775,10.5635
2020-09-17T00:00:00Z,15.015,17.0005
2020-09-18T00:00:00Z,17.721,20.034
2020-09-19T00:00:00Z,29.7635,36.2795
2020-09-20T00:00:00Z,25.6555,29.714
2020-09-21T00:00:00Z,35.654,43.843
2020-09-22T00:00:00Z,19.5995,23.5095
2020-09-23T00:00:00Z,16.354,18.284
2020-09-24T00:00:00Z,27.009,31.456
2020-09-25T00:00:00Z,31.9115,38.042
2020-09-26T00:00:00Z,23.453,27.729
2020-09-27T00:00:00Z,2.6175,3.0975
2020-09-28T00:00:00Z,2.2075,2.7525
2020-09-29T00:00:00Z,3.191,3.982
2020-09-30T00:00:00Z,5.3185,6.3835
2020-10-01T00:00:00Z,4.326,5.315
2020-10-02T00:00:00Z,6.5785,8.064
2020-10-03T00:00:00Z,14.836,17.6685
2020-10-04T00:00:00Z,38.2505,49.383
2020-10-05T00:00:00Z,37.7615,48.414
2020-10-06T00:00:00Z,37.189,47.3715
2020-10-07T00:00:00Z,45.4235,59.9805
2020-10-08T00:00:00Z,41.124,53.3435
2020-10-15T00:00:00Z,0.4595,0.796
2020-10-16T00:00:00Z,3.127,3.9815
2020-10-17T00:00:00Z,4.316,5.1495
2020-10-18T00:00:00Z,7.8555,9.2235
2020-10-19T00:00:00Z,4.1465,5.0275
2020-10-20T00:00:00Z,3.6395,4.5185
2020-10-21T00:00:00Z,3.7705,4.7655
2020-10-22T00:00:00Z,3.2185,3.998
2020-10-23T00:00:00Z,3.6345,4.883
2020-10-24T00:00:00Z,15.8475,18.06
2020-10-25T00:00:00Z,4.281,5.138
2020-10-26T00:00:00Z,4.76,5.8085
2020-10-27T00:00:00Z,16.967,20.1415
2020-10-28T00:00:00Z,22.661,26.8185
2020-10-29T00:00:00Z,18.383,22.2715
2020-10-30T00:00:00Z,14.0465,17.3135
2020-10-31T00:00:00Z,6.511,7.784
2020-11-01T00:00:00Z,15.8415,18.2505
2020-11-02T00:00:00Z,19.0285,22.168
2020-11-03T00:00:00Z,20.1465,23.625
2020-11-04T00:00:00Z,17.4095,20.5105
2020-11-05T00:00:00Z,11.519,13.5795
2020-11-06T00:00:00Z,7.934,9.2215
2020-11-07T00:00:00Z,2.6465,3.316
2020-11-08T00:00:00Z,0.795,1.088
2020-11-09T00:00:00Z,10.921,13.367
2020-11-10T00:00:00Z,6.957,7.895
2020-11-11T00:00:00Z,5.878,6.7475
2020-11-12T00:00:00Z,3.4095,4.137
2020-11-13T00:00:00Z,6.6355,8.0535
2020-11-14T00:00:00Z,0.564,0.726
2020-11-15T00:00:00Z,1.9085,2.3855
2020-11-16T00:00:00Z,8.904,10.2415
2020-11-17T00:00:00Z,7.9485,9.588
2020-11-18T00:00:00Z,0.9405,1.694
2020-11-19T00:00:00Z,2.2365,2.951
2020-11-20T00:00:00Z,4.508,5.3955
2020-11-21T00:00:00Z,12.6815,14.631
2020-11-22T00:00:00Z,14.984,17.659
