time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2021-12-12T00:00:00Z,10.8,10.8,,12.895,12.895,,18.887,18.887,,14.203,14.203,,20.542,20.542,
2021-12-13T00:00:00Z,1.2,1.2,,1.751,1.751,,1.945,1.945,,2.275,2.275,,2.416,2.416,
2021-12-14T00:00:00Z,0.5,0.5,,0.491,0.491,,0.491,0.491,,0.643,0.643,,0.643,0.643,
2021-12-15T00:00:00Z,0.8,0.8,,1.056,1.056,,1.06,1.06,,1.26,1.26,,1.26,1.26,
2021-12-16T00:00:00Z,1.6,1.6,,2.388,2.388,,2.648,2.648,,2.917,2.917,,3.009,3.009,
2021-12-17T00:00:00Z,0.3,0.3,,0.064,0.064,,0.064,0.064,,0.149,0.149,,0.149,0.149,
2021-12-18T00:00:00Z,0.4,0.4,,0.114,0.114,,0.114,0.114,,0.213,0.213,,0.213,0.213,
2021-12-19T00:00:00Z,3.6,3.6,,4.47,4.47,,5.915,5.915,,5.429,5.429,,6.968,6.968,
2021-12-20T00:00:00Z,1,1,,0.801,0.801,,0.801,0.801,,0.974,0.974,,0.974,0.974,
2021-12-21T00:00:00Z,1.2,1.2,,1.165,1.165,,1.165,1.165,,1.329,1.329,,1.33,1.33,
2021-12-22T00:00:00Z,2.1,2.1,,2.773,2.773,,2.773,2.773,,3.073,3.073,,3.073,3.073,
2021-12-23T00:00:00Z,4.4,4.4,,5.474,5.474,,7.433,7.433,,6.377,6.377,,8.468,8.468,
2021-12-24T00:00:00Z,0.7,0.7,,0.741,0.741,,0.741,0.741,,0.972,0.972,,0.972,0.972,
2021-12-25T00:00:00Z,2.9,2.9,,3.667,3.667,,5.02,5.02,,4.702,4.702,,6.277,6.277,
2021-12-26T00:00:00Z,0.2,0.2,,0.082,0.082,,0.082,0.082,,0.166,0.166,,0.166,0.166,
2021-12-27T00:00:00Z,0.2,0.2,,0.061,0.061,,0.061,0.061,,0.095,0.095,,0.095,0.095,
2021-12-28T00:00:00Z,0.3,0.3,,0.051,0.051,,0.052,0.052,,0.112,0.112,,0.113,0.113,
2021-12-29T00:00:00Z,0.4,0.4,,0.084,0.084,,0.084,0.084,,0.156,0.156,,0.156,0.156,
2021-12-30T00:00:00Z,0.1,0.1,,0.013,0.013,,0.013,0.013,,0.057,0.057,,0.057,0.057,
2021-12-31T00:00:00Z,1.3,1.3,,1.679,1.679,,1.854,1.854,,1.979,1.979,,2.084,2.084,
2022-01-01T00:00:00Z,1.1,1.1,,1.299,1.299,,1.299,1.299,,1.609,1.609,,1.609,1.609,
2022-01-02T00:00:00Z,0.7,0.7,,0.525,0.525,,0.525,0.525,,0.688,0.688,,0.688,0.688,
2022-01-03T00:00:00Z,1.4,1.4,,1.505,1.505,,1.505,1.505,,1.77,1.77,,1.77,1.77,
2022-01-04T00:00:00Z,0.8,0.8,,0.975,0.975,,0.975,0.975,,1.233,1.233,,1.233,1.233,
2022-01-05T00:00:00Z,0.5,0.5,,0.184,0.184,,0.184,0.184,,0.311,0.311,,0.311,0.311,
2022-01-06T00:00:00Z,0.8,0.8,,0.493,0.493,,0.493,0.493,,0.695,0.695,,0.695,0.695,
2022-01-07T00:00:00Z,2,2,,3.132,3.132,,3.192,3.192,,3.821,3.821,,3.86,3.86,
2022-01-08T00:00:00Z,2.4,2.4,,3.643,3.643,,3.76,3.76,,4.081,4.081,,4.141,4.141,
2022-01-09T00:00:00Z,6.4,6.4,,7.828,7.828,,10.947,10.947,,8.997,8.997,,12.399,12.399,
2022-01-10T00:00:00Z,1,1,,0.868,0.868,,0.868,0.868,,1.072,1.072,,1.072,1.072,
2022-01-11T00:00:00Z,1.1,1.1,,1.016,1.016,,1.016,1.016,,1.234,1.234,,1.234,1.234,
2022-01-12T00:00:00Z,1.2,1.2,,1.265,1.265,,1.265,1.265,,1.48,1.48,,1.48,1.48,
2022-01-13T00:00:00Z,1.8,1.8,,2.184,2.184,,2.184,2.184,,2.461,2.461,,2.461,2.461,
2022-01-14T00:00:00Z,1.6,1.6,,2.001,2.001,,2.001,2.001,,2.27,2.27,,2.27,2.27,
2022-01-15T00:00:00Z,1,1,,0.91,0.91,,0.91,0.91,,1.02,1.02,,1.02,1.02,
2022-01-16T00:00:00Z,1.6,1.6,,1.856,1.856,,1.856,1.856,,2.02,2.02,,2.02,2.02,
2022-01-17T00:00:00Z,1.9,1.9,,2.446,2.446,,2.446,2.446,,2.67,2.67,,2.67,2.67,
2022-01-18T00:00:00Z,1.8,1.8,,2.151,2.151,,2.179,2.179,,2.447,2.447,,2.451,2.451,
2022-01-19T00:00:00Z,2.5,2.5,,3.44,3.44,,3.442,3.442,,3.843,3.843,,3.843,3.843,
2022-01-20T00:00:00Z,1.2,1.2,,1.221,1.221,,1.221,1.221,,1.432,1.432,,1.432,1.432,
2022-01-21T00:00:00Z,0.8,0.8,,0.639,0.639,,0.639,0.639,,0.811,0.811,,0.811,0.811,
2022-01-22T00:00:00Z,0.7,0.7,,0.635,0.635,,0.635,0.635,,0.781,0.781,,0.781,0.781,
2022-01-23T00:00:00Z,1.2,1.2,,1.183,1.183,,1.183,1.183,,1.429,1.429,,1.429,1.429,
2022-01-24T00:00:00Z,1.5,1.5,,1.8,1.8,,1.807,1.807,,2.157,2.157,,2.159,2.159,
2022-01-25T00:00:00Z,0.8,0.8,,0.625,0.625,,0.625,0.625,,0.795,0.795,,0.795,0.795,
2022-01-26T00:00:00Z,0.4,0.4,,0.095,0.095,,0.095,0.095,,0.177,0.177,,0.177,0.177,
2022-01-27T00:00:00Z,1.1,1.1,,0.978,0.978,,0.978,0.978,,1.21,1.21,,1.21,1.21,
2022-01-28T00:00:00Z,1.2,1.2,,1.228,1.228,,1.228,1.228,,1.501,1.501,,1.501,1.501,
2022-01-29T00:00:00Z,1.2,1.2,,1.191,1.191,,1.191,1.191,,1.39,1.39,,1.39,1.39,
2022-01-30T00:00:00Z,2.4,2.4,,3.332,3.332,,3.332,3.332,,3.684,3.684,,3.684,3.684,
2022-01-31T00:00:00Z,2.5,2.5,,3.584,3.584,,3.584,3.584,,3.997,3.997,,3.997,3.997,
2022-02-01T00:00:00Z,5.1,5.1,,6.575,6.575,,8.904,8.904,,7.36,7.36,,9.298,9.298,
2022-02-02T00:00:00Z,21.2,21.2,,26.621,26.621,,38.242,38.242,,30.791,30.791,,43.888,43.888,
2022-02-03T00:00:00Z,5.3,5.3,,9.72,9.72,,9.722,9.722,,13.002,13.002,,13.002,13.002,
2022-02-04T00:00:00Z,0.6,0.6,,0.352,0.352,,0.352,0.352,,0.525,0.525,,0.525,0.525,
2022-02-05T00:00:00Z,0.8,0.8,,0.662,0.662,,0.662,0.662,,0.792,0.792,,0.792,0.792,
2022-02-06T00:00:00Z,10.2,10.2,,12.622,12.622,,18.031,18.031,,14.367,14.367,,20.261,20.261,
2022-02-07T00:00:00Z,0.8,0.8,,0.547,0.547,,0.547,0.547,,0.74,0.74,,0.739,0.739,
2022-02-08T00:00:00Z,1.6,1.6,,1.85,1.85,,1.85,1.85,,2.211,2.211,,2.211,2.211,
2022-02-09T00:00:00Z,1.9,1.9,,2.42,2.42,,2.421,2.421,,2.774,2.774,,2.774,2.774,
2022-02-10T00:00:00Z,1.5,1.5,,1.7,1.7,,1.7,1.7,,2.028,2.028,,2.028,2.028,
2022-02-11T00:00:00Z,1,1,,0.895,0.895,,0.895,0.895,,1.144,1.144,,1.144,1.144,
2022-02-12T00:00:00Z,1,1,,0.901,0.901,,0.901,0.901,,1.139,1.139,,1.139,1.139,
2022-02-13T00:00:00Z,1.3,1.3,,1.321,1.321,,1.321,1.321,,1.672,1.672,,1.672,1.672,
2022-02-14T00:00:00Z,1.1,1.1,,1.026,1.026,,1.026,1.026,,1.259,1.259,,1.259,1.259,
2022-02-15T00:00:00Z,1.1,1.1,,1.385,1.385,,1.385,1.385,,1.651,1.651,,1.651,1.651,
2022-02-16T00:00:00Z,0.6,0.6,,0.417,0.417,,0.417,0.417,,0.614,0.614,,0.614,0.614,
2022-02-17T00:00:00Z,0.4,0.4,,0.127,0.127,,0.127,0.127,,0.237,0.237,,0.237,0.237,
2022-02-18T00:00:00Z,0.7,0.7,,0.394,0.394,,0.394,0.394,,0.541,0.541,,0.541,0.541,
2022-02-19T00:00:00Z,0.9,0.9,,0.785,0.785,,0.785,0.785,,0.987,0.987,,0.987,0.987,
2022-02-20T00:00:00Z,1,1,,1.232,1.232,,1.24,1.24,,1.861,1.861,,1.873,1.873,
2022-02-21T00:00:00Z,0.4,0.4,,0.156,0.156,,0.156,0.156,,0.307,0.307,,0.307,0.307,
2022-02-22T00:00:00Z,0.6,0.6,,0.382,0.382,,0.382,0.382,,0.763,0.763,,0.763,0.763,
2022-02-23T00:00:00Z,0.7,0.7,,0.363,0.363,,0.363,0.363,,0.54,0.54,,0.54,0.54,
2022-02-24T00:00:00Z,0.7,0.7,,0.413,0.413,,0.413,0.413,,0.58,0.58,,0.58,0.58,
2022-02-25T00:00:00Z,0.6,0.6,,0.281,0.281,,0.3,0.3,,0.459,0.459,,0.473,0.473,
2022-02-26T00:00:00Z,4.3,4.3,,5.162,5.162,,7.231,7.231,,5.804,5.804,,7.7,7.7,
2022-02-27T00:00:00Z,2.7,2.7,,3.232,3.232,,4.198,4.198,,3.939,3.939,,4.938,4.938,
2022-02-28T00:00:00Z,6.4,6.4,,7.649,7.649,,10.773,10.773,,8.432,8.432,,11.621,11.621,
2022-03-01T00:00:00Z,3.3,3.3,,4.012,4.012,,5.176,5.176,,4.72,4.72,,5.879,5.879,
2022-03-02T00:00:00Z,3.1,3.1,,4.492,4.492,,4.853,4.853,,5.069,5.069,,5.259,5.259,
2022-03-03T00:00:00Z,0.9,0.9,,0.982,0.982,,0.982,0.982,,1.185,1.185,,1.185,1.185,
2022-03-04T00:00:00Z,0.4,0.4,,0.149,0.149,,0.149,0.149,,0.281,0.281,,0.281,0.281,
2022-03-05T00:00:00Z,0.4,0.4,,0.096,0.096,,0.096,0.096,,0.27,0.27,,0.27,0.27,
2022-03-06T00:00:00Z,0.3,0.3,,0.047,0.047,,0.047,0.047,,0.134,0.134,,0.134,0.134,
2022-03-07T00:00:00Z,1.7,1.7,,2.093,2.093,,2.346,2.346,,2.479,2.479,,2.555,2.555,
2022-03-08T00:00:00Z,0.5,0.5,,0.135,0.135,,0.135,0.135,,0.256,0.256,,0.256,0.256,
2022-03-09T00:00:00Z,0.4,0.4,,0.116,0.116,,0.116,0.116,,0.209,0.209,,0.209,0.209,
2022-03-10T00:00:00Z,0.3,0.3,,0.142,0.142,,0.142,0.142,,0.27,0.27,,0.27,0.27,
2022-03-11T00:00:00Z,1,1,,1.021,1.021,,1.024,1.024,,1.208,1.208,,1.208,1.208,
2022-03-12T00:00:00Z,0.8,0.8,,0.89,0.89,,0.891,0.891,,1.096,1.096,,1.096,1.096,
2022-03-13T00:00:00Z,0.3,0.3,,0.143,0.143,,0.143,0.143,,0.328,0.328,,0.328,0.328,
2022-03-14T00:00:00Z,0.6,0.6,,0.422,0.422,,0.422,0.422,,0.553,0.553,,0.553,0.553,
2022-03-15T00:00:00Z,0.5,0.5,,0.272,0.272,,0.272,0.272,,0.458,0.458,,0.458,0.458,
2022-03-16T00:00:00Z,0.7,0.7,,0.594,0.594,,0.594,0.594,,0.774,0.774,,0.774,0.774,
2022-03-17T00:00:00Z,0.9,0.9,,0.938,0.938,,1,1,,1.217,1.217,,1.244,1.244,
2022-03-18T00:00:00Z,0.5,0.5,,0.208,0.208,,0.208,0.208,,0.385,0.385,,0.385,0.385,
2022-03-19T00:00:00Z,0.6,0.6,,0.309,0.309,,0.309,0.309,,0.503,0.503,,0.503,0.503,
2022-03-20T00:00:00Z,1.8,1.8,,2.686,2.686,,2.825,2.825,,3.336,3.336,,3.401,3.401,
2022-03-21T00:00:00Z,0.5,0.5,,0.392,0.392,,0.392,0.392,,0.57,0.57,,0.57,0.57,
2022-03-22T00:00:00Z,0.8,0.8,,0.697,0.697,,0.697,0.697,,0.913,0.913,,0.913,0.913,
2022-03-23T00:00:00Z,0.6,0.6,,0.446,0.446,,0.446,0.446,,0.601,0.601,,0.601,0.601,
2022-03-24T00:00:00Z,1.1,1.1,,1.117,1.117,,1.277,1.277,,1.435,1.435,,1.534,1.534,
2022-03-25T00:00:00Z,1.3,1.3,,1.409,1.409,,1.443,1.443,,1.763,1.763,,1.794,1.794,
2022-03-26T00:00:00Z,1.8,1.8,,2.155,2.155,,2.358,2.358,,2.741,2.741,,2.869,2.869,
2022-03-27T00:00:00Z,0.6,0.6,,0.374,0.374,,0.374,0.374,,0.504,0.504,,0.504,0.504,
2022-03-28T00:00:00Z,0.6,0.6,,0.335,0.335,,0.335,0.335,,0.669,0.669,,0.669,0.669,
2022-03-29T00:00:00Z,0.6,0.6,,0.645,0.645,,0.654,0.654,,1.1,1.1,,1.112,1.112,
2022-03-30T00:00:00Z,0.4,0.4,,0.199,0.199,,0.199,0.199,,0.325,0.325,,0.325,0.325,
2022-03-31T00:00:00Z,0.5,0.5,,0.174,0.174,,0.174,0.174,,0.325,0.325,,0.325,0.325,
2022-04-01T00:00:00Z,2.5,2.5,,3.348,3.348,,4.07,4.07,,4.249,4.249,,4.839,4.839,
2022-04-02T00:00:00Z,1.7,1.7,,2.202,2.202,,2.21,2.21,,2.534,2.534,,2.536,2.536,
2022-04-03T00:00:00Z,2.4,2.4,,3.133,3.133,,3.752,3.752,,3.808,3.808,,4.283,4.283,
2022-04-04T00:00:00Z,0.7,0.7,,0.458,0.458,,0.458,0.458,,0.746,0.746,,0.746,0.746,
2022-04-05T00:00:00Z,0.3,0.3,,0.074,0.074,,0.074,0.074,,0.212,0.212,,0.212,0.212,
2022-04-06T00:00:00Z,3.3,3.3,,4.002,4.002,,5.571,5.571,,4.92,4.92,,6.717,6.717,
2022-04-07T00:00:00Z,1.9,1.9,,2.351,2.351,,2.547,2.547,,2.805,2.805,,2.957,2.957,
2022-04-08T00:00:00Z,0.8,0.8,,0.668,0.668,,0.668,0.668,,0.977,0.977,,0.977,0.977,
2022-04-09T00:00:00Z,0.6,0.6,,0.417,0.417,,0.417,0.417,,0.675,0.675,,0.675,0.675,
2022-04-10T00:00:00Z,0.5,0.5,,0.407,0.407,,0.414,0.414,,0.609,0.609,,0.609,0.609,
2022-04-11T00:00:00Z,3.3,3.3,,3.907,3.907,,5.349,5.349,,4.768,4.768,,6.321,6.321,
2022-04-12T00:00:00Z,0.3,0.3,,0.089,0.089,,0.089,0.089,,0.25,0.25,,0.25,0.25,
2022-04-13T00:00:00Z,0.5,0.5,,0.479,0.479,,0.479,0.479,,0.77,0.77,,0.77,0.77,
2022-04-14T00:00:00Z,0.4,0.4,,0.076,0.076,,0.076,0.076,,0.205,0.205,,0.205,0.205,
2022-04-15T00:00:00Z,2,2,,3.107,3.107,,3.265,3.265,,3.752,3.752,,3.823,3.823,
2022-04-16T00:00:00Z,0.7,0.7,,0.455,0.455,,0.455,0.455,,0.719,0.719,,0.719,0.719,
