Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/2/2022,AQS,490350015,1,0.064,ppm,80,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/3/2022,AQS,490350015,1,0.053,ppm,49,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/4/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/5/2022,AQS,490350015,1,0.052,ppm,48,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/6/2022,AQS,490350015,1,0.05,ppm,46,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/7/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/8/2022,AQS,490350015,1,0.058,ppm,61,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/9/2022,AQS,490350015,1,0.062,ppm,74,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/10/2022,AQS,490350015,1,0.067,ppm,90,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/11/2022,AQS,490350015,1,0.061,ppm,71,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/12/2022,AQS,490350015,1,0.05,ppm,46,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/13/2022,AQS,490350015,1,0.056,ppm,54,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/14/2022,AQS,490350015,1,0.051,ppm,47,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/15/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/16/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/17/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/18/2022,AQS,490350015,1,0.061,ppm,71,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/19/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/20/2022,AQS,490350015,1,0.053,ppm,49,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/21/2022,AQS,490350015,1,0.056,ppm,54,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/22/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/23/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/24/2022,AQS,490350015,1,0.069,ppm,97,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/25/2022,AQS,490350015,1,0.048,ppm,44,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/26/2022,AQS,490350015,1,0.048,ppm,44,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/27/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/28/2022,AQS,490350015,1,0.058,ppm,61,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/29/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/30/2022,AQS,490350015,1,0.038,ppm,35,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/31/2022,AQS,490350015,1,0.055,ppm,51,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/1/2022,AQS,490350015,1,0.061,ppm,71,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/2/2022,AQS,490350015,1,0.063,ppm,77,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/3/2022,AQS,490350015,1,0.065,ppm,84,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/4/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/5/2022,AQS,490350015,1,0.04,ppm,37,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
6/6/2022,AQS,490350015,1,0.06,ppm,67,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
