Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
11/30/2023,AQS,490353015,1,40,ug/m3 SC,37,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/1/2023,AQS,490353015,1,31,ug/m3 SC,29,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/2/2023,AQS,490353015,1,7,ug/m3 SC,6,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/3/2023,AQS,490353015,1,4,ug/m3 SC,4,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/4/2023,AQS,490353015,1,16,ug/m3 SC,15,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/5/2023,AQS,490353015,1,27,ug/m3 SC,25,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/6/2023,AQS,490353015,1,32,ug/m3 SC,30,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/7/2023,AQS,490353015,1,19,ug/m3 SC,18,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/8/2023,AQS,490353015,1,8,ug/m3 SC,7,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/9/2023,AQS,490353015,1,15,ug/m3 SC,14,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/10/2023,AQS,490353015,1,12,ug/m3 SC,11,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/11/2023,AQS,490353015,1,36,ug/m3 SC,33,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/12/2023,AQS,490353015,1,35,ug/m3 SC,32,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/13/2023,AQS,490353015,1,23,ug/m3 SC,21,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/14/2023,AQS,490353015,1,32,ug/m3 SC,30,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/15/2023,AQS,490353015,1,49,ug/m3 SC,45,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/16/2023,AQS,490353015,1,51,ug/m3 SC,47,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/17/2023,AQS,490353015,1,43,ug/m3 SC,40,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/18/2023,AQS,490353015,1,38,ug/m3 SC,35,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/19/2023,AQS,490353015,1,38,ug/m3 SC,35,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/20/2023,AQS,490353015,1,40,ug/m3 SC,37,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/21/2023,AQS,490353015,1,54,ug/m3 SC,50,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/22/2023,AQS,490353015,1,39,ug/m3 SC,36,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/23/2023,AQS,490353015,1,12,ug/m3 SC,11,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/24/2023,AQS,490353015,1,8,ug/m3 SC,7,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/25/2023,AQS,490353015,1,11,ug/m3 SC,10,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/26/2023,AQS,490353015,1,19,ug/m3 SC,18,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/27/2023,AQS,490353015,1,26,ug/m3 SC,24,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/28/2023,AQS,490353015,1,44,ug/m3 SC,41,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/29/2023,AQS,490353015,1,51,ug/m3 SC,47,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/30/2023,AQS,490353015,1,45,ug/m3 SC,42,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
12/31/2023,AQS,490353015,1,41,ug/m3 SC,38,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/1/2023,AQS,490353015,3,3,ug/m3 SC,3,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/2/2023,AQS,490353015,3,3,ug/m3 SC,3,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/3/2023,AQS,490353015,3,16,ug/m3 SC,15,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/4/2023,AQS,490353015,3,19,ug/m3 SC,18,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
1/6/2023,AQS,490353015,3,11,ug/m3 SC,10,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
